,,,NumberofStudents,NumberofStudents,NumberofStudents
,,,min,max,mean
District,SchoolType,BirthYear,,,
Abramów,Gimnazjum,2003,14,14,14.0
Abramów,Gimnazjum,2004,15,15,15.0
Abramów,Gimnazjum,2005,14,14,14.0
Abramów,Szkoła podstawowa,2006,11,19,15.0
Abramów,Szkoła podstawowa,2007,14,23,18.5
Abramów,Szkoła podstawowa,2008,11,19,15.0
Abramów,Szkoła podstawowa,2009,9,15,12.0
Abramów,Szkoła podstawowa,2010,11,18,14.5
Abramów,Szkoła podstawowa,2011,11,19,15.0
Adamów,Gimnazjum,2003,13,13,13.0
Adamów,Gimnazjum,2004,14,14,14.0
Adamów,Gimnazjum,2005,15,15,15.0
Adamów,Szkoła podstawowa,2006,34,44,39.0
Adamów,Szkoła podstawowa,2007,36,46,41.0
Adamów,Szkoła podstawowa,2008,32,41,36.5
Adamów,Szkoła podstawowa,2009,27,34,30.5
Adamów,Szkoła podstawowa,2010,30,39,34.5
Adamów,Szkoła podstawowa,2011,30,39,34.5
Adamówka,Szkoła podstawowa,2006,8,39,23.0
Adamówka,Szkoła podstawowa,2007,8,41,24.333333333333332
Adamówka,Szkoła podstawowa,2008,7,34,20.333333333333332
Adamówka,Szkoła podstawowa,2009,6,32,18.666666666666668
Adamówka,Szkoła podstawowa,2010,8,39,23.0
Adamówka,Szkoła podstawowa,2011,8,41,24.333333333333332
Aleksandrów,Gimnazjum,2003,4,6,5.0
Aleksandrów,Gimnazjum,2004,5,6,5.5
Aleksandrów,Gimnazjum,2005,5,8,6.5
Aleksandrów,Przedszkole,2012,5,12,8.5
Aleksandrów,Przedszkole,2013,5,13,9.0
Aleksandrów,Przedszkole,2014,5,12,8.5
Aleksandrów,Przedszkole,2015,5,13,9.0
Aleksandrów,Szkoła podstawowa,2006,8,22,14.0
Aleksandrów,Szkoła podstawowa,2007,7,22,13.0
Aleksandrów,Szkoła podstawowa,2008,9,22,15.0
Aleksandrów,Szkoła podstawowa,2009,9,22,15.0
Aleksandrów,Szkoła podstawowa,2010,7,20,12.5
Aleksandrów,Szkoła podstawowa,2011,7,17,11.75
Aleksandrów Kujawski,Gimnazjum,2003,10,10,10.0
Aleksandrów Kujawski,Gimnazjum,2004,10,10,10.0
Aleksandrów Kujawski,Gimnazjum,2005,11,11,11.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2000,7,31,19.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2001,8,34,21.0
Aleksandrów Kujawski,Liceum ogólnokształcące,2002,9,38,23.5
Aleksandrów Kujawski,Przedszkole,2012,2,47,15.833333333333334
Aleksandrów Kujawski,Przedszkole,2013,2,47,15.166666666666666
Aleksandrów Kujawski,Przedszkole,2014,2,43,14.5
Aleksandrów Kujawski,Przedszkole,2015,2,47,15.833333333333334
Aleksandrów Kujawski,Szkoła podstawowa,2006,6,48,19.4
Aleksandrów Kujawski,Szkoła podstawowa,2007,6,54,20.8
Aleksandrów Kujawski,Szkoła podstawowa,2008,5,54,19.8
Aleksandrów Kujawski,Szkoła podstawowa,2009,5,42,16.1
Aleksandrów Kujawski,Szkoła podstawowa,2010,5,42,16.1
Aleksandrów Kujawski,Szkoła podstawowa,2011,5,42,16.1
Aleksandrów Łódzki,Liceum ogólnokształcące,2000,18,18,18.0
Aleksandrów Łódzki,Liceum ogólnokształcące,2001,18,18,18.0
Aleksandrów Łódzki,Liceum ogólnokształcące,2002,18,18,18.0
Aleksandrów Łódzki,Przedszkole,2012,7,55,30.5
Aleksandrów Łódzki,Przedszkole,2013,7,53,29.5
Aleksandrów Łódzki,Przedszkole,2014,7,53,29.5
Aleksandrów Łódzki,Przedszkole,2015,7,53,29.5
Aleksandrów Łódzki,Szkoła podstawowa,2006,13,140,71.57142857142857
Aleksandrów Łódzki,Szkoła podstawowa,2007,14,158,80.42857142857143
Aleksandrów Łódzki,Szkoła podstawowa,2008,14,158,80.42857142857143
Aleksandrów Łódzki,Szkoła podstawowa,2009,14,149,76.14285714285714
Aleksandrów Łódzki,Szkoła podstawowa,2010,13,140,71.57142857142857
Aleksandrów Łódzki,Szkoła podstawowa,2011,13,140,71.57142857142857
Alwernia,Przedszkole,2012,11,41,23.333333333333332
Alwernia,Przedszkole,2013,11,41,23.333333333333332
Alwernia,Przedszkole,2014,12,45,25.666666666666668
Alwernia,Przedszkole,2015,14,52,29.666666666666668
Alwernia,Szkoła podstawowa,2006,14,58,27.428571428571427
Alwernia,Szkoła podstawowa,2007,13,55,25.714285714285715
Alwernia,Szkoła podstawowa,2008,12,52,24.142857142857142
Alwernia,Szkoła podstawowa,2009,12,52,24.142857142857142
Alwernia,Szkoła podstawowa,2010,13,55,25.714285714285715
Alwernia,Szkoła podstawowa,2011,12,52,24.142857142857142
Andrespol,Liceum ogólnokształcące,2000,101,101,101.0
Andrespol,Liceum ogólnokształcące,2001,104,104,104.0
Andrespol,Liceum ogólnokształcące,2002,110,110,110.0
Andrespol,Przedszkole,2012,4,51,16.166666666666668
Andrespol,Przedszkole,2013,4,49,15.5
Andrespol,Przedszkole,2014,4,49,15.5
Andrespol,Przedszkole,2015,4,47,14.833333333333334
Andrespol,Szkoła podstawowa,2006,47,136,91.5
Andrespol,Szkoła podstawowa,2007,50,144,97.0
Andrespol,Szkoła podstawowa,2008,47,136,91.5
Andrespol,Szkoła podstawowa,2009,47,136,91.5
Andrespol,Szkoła podstawowa,2010,44,128,86.0
Andrespol,Szkoła podstawowa,2011,44,128,86.0
Andrychów,Liceum ogólnokształcące,2000,152,152,152.0
Andrychów,Liceum ogólnokształcące,2001,147,147,147.0
Andrychów,Liceum ogólnokształcące,2002,147,147,147.0
Andrychów,Przedszkole,2012,9,30,23.5
Andrychów,Przedszkole,2013,9,31,24.375
Andrychów,Przedszkole,2014,9,31,24.375
Andrychów,Przedszkole,2015,9,33,25.375
Andrychów,Szkoła podstawowa,2006,36,132,74.6
Andrychów,Szkoła podstawowa,2007,36,132,74.6
Andrychów,Szkoła podstawowa,2008,36,132,74.6
Andrychów,Szkoła podstawowa,2009,36,132,74.6
Andrychów,Szkoła podstawowa,2010,34,124,70.0
Andrychów,Szkoła podstawowa,2011,32,117,66.0
Andrzejewo,Szkoła podstawowa,2006,11,38,22.0
Andrzejewo,Szkoła podstawowa,2007,11,36,21.0
Andrzejewo,Szkoła podstawowa,2008,11,36,21.0
Andrzejewo,Szkoła podstawowa,2009,11,38,22.0
Andrzejewo,Szkoła podstawowa,2010,12,41,23.666666666666668
Andrzejewo,Szkoła podstawowa,2011,10,34,19.666666666666668
Annopol,Przedszkole,2012,35,35,35.0
Annopol,Przedszkole,2013,34,34,34.0
Annopol,Przedszkole,2014,34,34,34.0
Annopol,Przedszkole,2015,33,33,33.0
Annopol,Szkoła podstawowa,2006,6,64,17.75
Annopol,Szkoła podstawowa,2007,7,67,18.875
Annopol,Szkoła podstawowa,2008,7,67,18.875
Annopol,Szkoła podstawowa,2009,5,53,14.875
Annopol,Szkoła podstawowa,2010,5,53,14.875
Annopol,Szkoła podstawowa,2011,6,56,15.625
Augustów,Liceum ogólnokształcące,2000,37,73,55.0
Augustów,Liceum ogólnokształcące,2001,37,73,55.0
Augustów,Liceum ogólnokształcące,2002,39,75,57.0
Augustów,Przedszkole,2012,5,42,19.083333333333332
Augustów,Przedszkole,2013,6,44,20.333333333333332
Augustów,Przedszkole,2014,6,47,21.25
Augustów,Przedszkole,2015,6,47,21.25
Augustów,Szkoła podstawowa,2006,1,143,28.615384615384617
Augustów,Szkoła podstawowa,2007,1,143,28.615384615384617
Augustów,Szkoła podstawowa,2008,1,143,28.076923076923077
Augustów,Szkoła podstawowa,2009,1,132,26.076923076923077
Augustów,Szkoła podstawowa,2010,1,122,24.76923076923077
Augustów,Szkoła podstawowa,2011,1,122,24.23076923076923
Augustów,Szkoła policealna,1994,4,15,9.5
Augustów,Szkoła policealna,1995,4,15,9.5
Augustów,Szkoła policealna,1996,4,15,9.5
Augustów,Szkoła policealna,1997,3,14,8.5
Augustów,Szkoła policealna,1998,3,14,8.5
Augustów,Szkoła policealna,1999,4,15,9.5
Babiak,Przedszkole,2012,32,32,32.0
Babiak,Przedszkole,2013,27,27,27.0
Babiak,Przedszkole,2014,30,30,30.0
Babiak,Przedszkole,2015,35,35,35.0
Babiak,Szkoła podstawowa,2006,56,56,56.0
Babiak,Szkoła podstawowa,2007,56,56,56.0
Babiak,Szkoła podstawowa,2008,50,50,50.0
Babiak,Szkoła podstawowa,2009,50,50,50.0
Babiak,Szkoła podstawowa,2010,50,50,50.0
Babiak,Szkoła podstawowa,2011,46,46,46.0
Babice,Przedszkole,2012,13,31,22.0
Babice,Przedszkole,2013,12,29,20.5
Babice,Przedszkole,2014,11,26,18.5
Babice,Przedszkole,2015,12,29,20.5
Babice,Szkoła podstawowa,2006,8,35,20.333333333333332
Babice,Szkoła podstawowa,2007,9,40,23.0
Babice,Szkoła podstawowa,2008,9,42,24.333333333333332
Babice,Szkoła podstawowa,2009,9,40,23.0
Babice,Szkoła podstawowa,2010,8,35,20.333333333333332
Babice,Szkoła podstawowa,2011,7,31,18.0
Babimost,Przedszkole,2012,36,36,36.0
Babimost,Przedszkole,2013,36,36,36.0
Babimost,Przedszkole,2014,39,39,39.0
Babimost,Przedszkole,2015,39,39,39.0
Babimost,Szkoła podstawowa,2006,45,45,45.0
Babimost,Szkoła podstawowa,2007,62,62,62.0
Babimost,Szkoła podstawowa,2008,55,55,55.0
Babimost,Szkoła podstawowa,2009,52,52,52.0
Babimost,Szkoła podstawowa,2010,52,52,52.0
Babimost,Szkoła podstawowa,2011,58,58,58.0
Baboszewo,Przedszkole,2012,26,26,26.0
Baboszewo,Przedszkole,2013,29,29,29.0
Baboszewo,Przedszkole,2014,30,30,30.0
Baboszewo,Przedszkole,2015,31,31,31.0
Baboszewo,Szkoła podstawowa,2006,21,92,40.0
Baboszewo,Szkoła podstawowa,2007,21,92,40.0
Baboszewo,Szkoła podstawowa,2008,19,82,35.75
Baboszewo,Szkoła podstawowa,2009,16,72,31.0
Baboszewo,Szkoła podstawowa,2010,16,72,31.0
Baboszewo,Szkoła podstawowa,2011,15,68,29.25
Bakałarzewo,Szkoła podstawowa,2006,57,57,57.0
Bakałarzewo,Szkoła podstawowa,2007,57,57,57.0
Bakałarzewo,Szkoła podstawowa,2008,53,53,53.0
Bakałarzewo,Szkoła podstawowa,2009,63,63,63.0
Bakałarzewo,Szkoła podstawowa,2010,60,60,60.0
Bakałarzewo,Szkoła podstawowa,2011,43,43,43.0
Baligród,Przedszkole,2012,4,4,4.0
Baligród,Przedszkole,2013,4,4,4.0
Baligród,Przedszkole,2014,4,4,4.0
Baligród,Przedszkole,2015,5,5,5.0
Baligród,Szkoła podstawowa,2006,5,29,16.333333333333332
Baligród,Szkoła podstawowa,2007,4,25,14.333333333333334
Baligród,Szkoła podstawowa,2008,5,27,15.666666666666666
Baligród,Szkoła podstawowa,2009,6,34,19.333333333333332
Baligród,Szkoła podstawowa,2010,5,31,17.333333333333332
Baligród,Szkoła podstawowa,2011,4,24,13.666666666666666
Banie,Przedszkole,2012,26,26,26.0
Banie,Przedszkole,2013,24,24,24.0
Banie,Przedszkole,2014,23,23,23.0
Banie,Przedszkole,2015,23,23,23.0
Banie,Szkoła podstawowa,2006,23,60,36.333333333333336
Banie,Szkoła podstawowa,2007,21,54,32.666666666666664
Banie,Szkoła podstawowa,2008,18,48,28.666666666666668
Banie,Szkoła podstawowa,2009,18,48,28.666666666666668
Banie,Szkoła podstawowa,2010,16,42,25.333333333333332
Banie,Szkoła podstawowa,2011,18,48,28.666666666666668
Banie Mazurskie,Przedszkole,2012,5,5,5.0
Banie Mazurskie,Przedszkole,2013,4,4,4.0
Banie Mazurskie,Przedszkole,2014,4,4,4.0
Banie Mazurskie,Przedszkole,2015,4,4,4.0
Banie Mazurskie,Szkoła podstawowa,2006,7,7,7.0
Banie Mazurskie,Szkoła podstawowa,2007,6,6,6.0
Banie Mazurskie,Szkoła podstawowa,2008,6,6,6.0
Banie Mazurskie,Szkoła podstawowa,2009,6,6,6.0
Banie Mazurskie,Szkoła podstawowa,2010,7,7,7.0
Banie Mazurskie,Szkoła podstawowa,2011,7,7,7.0
Baranowo,Przedszkole,2012,20,20,20.0
Baranowo,Przedszkole,2013,20,20,20.0
Baranowo,Przedszkole,2014,21,21,21.0
Baranowo,Przedszkole,2015,23,23,23.0
Baranowo,Szkoła podstawowa,2006,5,58,18.666666666666668
Baranowo,Szkoła podstawowa,2007,5,54,17.5
Baranowo,Szkoła podstawowa,2008,4,48,15.5
Baranowo,Szkoła podstawowa,2009,5,54,17.5
Baranowo,Szkoła podstawowa,2010,5,58,18.666666666666668
Baranowo,Szkoła podstawowa,2011,4,48,15.5
Baranów,Szkoła podstawowa,2006,4,16,8.4
Baranów,Szkoła podstawowa,2007,5,18,10.2
Baranów,Szkoła podstawowa,2008,6,20,11.8
Baranów,Szkoła podstawowa,2009,5,18,10.2
Baranów,Szkoła podstawowa,2010,5,18,9.0
Baranów,Szkoła podstawowa,2011,5,18,10.2
Baranów Sandomierski,Przedszkole,2012,7,7,7.0
Baranów Sandomierski,Przedszkole,2013,8,8,8.0
Baranów Sandomierski,Przedszkole,2014,7,7,7.0
Baranów Sandomierski,Przedszkole,2015,8,8,8.0
Barciany,Przedszkole,2012,27,27,27.0
Barciany,Przedszkole,2013,28,28,28.0
Barciany,Przedszkole,2014,26,26,26.0
Barciany,Przedszkole,2015,23,23,23.0
Barciany,Szkoła podstawowa,2006,27,31,28.5
Barciany,Szkoła podstawowa,2007,27,31,28.5
Barciany,Szkoła podstawowa,2008,21,25,22.75
Barciany,Szkoła podstawowa,2009,20,23,21.25
Barciany,Szkoła podstawowa,2010,20,23,21.25
Barciany,Szkoła podstawowa,2011,20,23,21.25
Barcin,Przedszkole,2012,3,30,22.2
Barcin,Przedszkole,2013,3,33,23.8
Barcin,Przedszkole,2014,2,29,21.2
Barcin,Przedszkole,2015,3,33,23.8
Barcin,Szkoła podstawowa,2006,25,46,36.0
Barcin,Szkoła podstawowa,2007,26,49,38.0
Barcin,Szkoła podstawowa,2008,25,46,36.0
Barcin,Szkoła podstawowa,2009,23,44,34.0
Barcin,Szkoła podstawowa,2010,22,41,32.0
Barcin,Szkoła podstawowa,2011,19,36,28.0
Barczewo,Przedszkole,2012,54,54,54.0
Barczewo,Przedszkole,2013,52,52,52.0
Barczewo,Przedszkole,2014,48,48,48.0
Barczewo,Przedszkole,2015,54,54,54.0
Barczewo,Szkoła podstawowa,2006,6,95,50.5
Barczewo,Szkoła podstawowa,2007,6,95,50.5
Barczewo,Szkoła podstawowa,2008,6,90,48.0
Barczewo,Szkoła podstawowa,2009,6,90,48.0
Barczewo,Szkoła podstawowa,2010,5,79,42.0
Barczewo,Szkoła podstawowa,2011,5,79,42.0
Bardo,Gimnazjum,2003,10,10,10.0
Bardo,Gimnazjum,2004,12,12,12.0
Bardo,Gimnazjum,2005,11,11,11.0
Bardo,Przedszkole,2012,7,7,7.0
Bardo,Przedszkole,2013,6,6,6.0
Bardo,Przedszkole,2014,6,6,6.0
Bardo,Przedszkole,2015,5,5,5.0
Bargłów Kościelny,Szkoła podstawowa,2006,10,56,22.25
Bargłów Kościelny,Szkoła podstawowa,2007,10,53,21.25
Bargłów Kościelny,Szkoła podstawowa,2008,10,56,22.25
Bargłów Kościelny,Szkoła podstawowa,2009,10,53,21.25
Bargłów Kościelny,Szkoła podstawowa,2010,10,56,22.25
Bargłów Kościelny,Szkoła podstawowa,2011,11,60,23.75
Barlinek,Przedszkole,2012,5,64,28.333333333333332
Barlinek,Przedszkole,2013,4,59,26.0
Barlinek,Przedszkole,2014,4,54,23.666666666666668
Barlinek,Przedszkole,2015,4,59,26.0
Barlinek,Szkoła podstawowa,2006,2,134,51.333333333333336
Barlinek,Szkoła podstawowa,2007,2,134,51.333333333333336
Barlinek,Szkoła podstawowa,2008,2,142,54.333333333333336
Barlinek,Szkoła podstawowa,2009,2,134,51.333333333333336
Barlinek,Szkoła podstawowa,2010,2,126,48.166666666666664
Barlinek,Szkoła podstawowa,2011,2,126,48.166666666666664
Bartniczka,Przedszkole,2012,23,23,23.0
Bartniczka,Przedszkole,2013,22,22,22.0
Bartniczka,Przedszkole,2014,24,24,24.0
Bartniczka,Przedszkole,2015,23,23,23.0
Bartniczka,Szkoła podstawowa,2006,40,42,41.0
Bartniczka,Szkoła podstawowa,2007,35,37,36.0
Bartniczka,Szkoła podstawowa,2008,35,37,36.0
Bartniczka,Szkoła podstawowa,2009,40,42,41.0
Bartniczka,Szkoła podstawowa,2010,37,40,38.5
Bartniczka,Szkoła podstawowa,2011,33,35,34.0
Bartoszyce,Gimnazjum,2003,30,30,30.0
Bartoszyce,Gimnazjum,2004,32,32,32.0
Bartoszyce,Gimnazjum,2005,32,32,32.0
Bartoszyce,Liceum ogólnokształcące,2000,10,47,25.333333333333332
Bartoszyce,Liceum ogólnokształcące,2001,10,47,25.333333333333332
Bartoszyce,Liceum ogólnokształcące,2002,11,49,26.666666666666668
Bartoszyce,Przedszkole,2012,4,29,20.8
Bartoszyce,Przedszkole,2013,4,28,20.0
Bartoszyce,Przedszkole,2014,4,28,20.0
Bartoszyce,Przedszkole,2015,4,31,22.2
Bartoszyce,Szkoła podstawowa,2006,3,58,21.9
Bartoszyce,Szkoła podstawowa,2007,3,70,25.6
Bartoszyce,Szkoła podstawowa,2008,3,70,25.6
Bartoszyce,Szkoła podstawowa,2009,2,64,22.9
Bartoszyce,Szkoła podstawowa,2010,2,64,22.9
Bartoszyce,Szkoła podstawowa,2011,2,58,21.1
Bartoszyce,Szkoła policealna,1994,3,3,3.0
Bartoszyce,Szkoła policealna,1995,3,3,3.0
Bartoszyce,Szkoła policealna,1996,3,3,3.0
Bartoszyce,Szkoła policealna,1997,3,3,3.0
Bartoszyce,Szkoła policealna,1998,3,3,3.0
Bartoszyce,Szkoła policealna,1999,3,3,3.0
Barwice,Przedszkole,2012,28,28,28.0
Barwice,Przedszkole,2013,30,30,30.0
Barwice,Przedszkole,2014,29,29,29.0
Barwice,Przedszkole,2015,30,30,30.0
Barwice,Szkoła podstawowa,2006,30,91,60.5
Barwice,Szkoła podstawowa,2007,25,76,50.5
Barwice,Szkoła podstawowa,2008,29,86,57.5
Barwice,Szkoła podstawowa,2009,30,91,60.5
Barwice,Szkoła podstawowa,2010,27,81,54.0
Barwice,Szkoła podstawowa,2011,27,81,54.0
Batorz,Szkoła podstawowa,2006,7,41,20.666666666666668
Batorz,Szkoła podstawowa,2007,7,39,19.666666666666668
Batorz,Szkoła podstawowa,2008,6,34,17.333333333333332
Batorz,Szkoła podstawowa,2009,7,41,20.666666666666668
Batorz,Szkoła podstawowa,2010,7,39,19.666666666666668
Batorz,Szkoła podstawowa,2011,6,37,18.666666666666668
Baćkowice,Szkoła podstawowa,2006,11,14,12.333333333333334
Baćkowice,Szkoła podstawowa,2007,14,19,16.333333333333332
Baćkowice,Szkoła podstawowa,2008,12,16,14.0
Baćkowice,Szkoła podstawowa,2009,9,12,10.333333333333334
Baćkowice,Szkoła podstawowa,2010,9,13,10.666666666666666
Baćkowice,Szkoła podstawowa,2011,12,15,13.333333333333334
Bałtów,Szkoła podstawowa,2006,13,29,21.0
Bałtów,Szkoła podstawowa,2007,16,37,26.5
Bałtów,Szkoła podstawowa,2008,15,35,25.0
Bałtów,Szkoła podstawowa,2009,17,39,28.0
Bałtów,Szkoła podstawowa,2010,15,35,25.0
Bałtów,Szkoła podstawowa,2011,13,29,21.0
Bedlno,Gimnazjum,2003,13,13,13.0
Bedlno,Gimnazjum,2004,16,16,16.0
Bedlno,Gimnazjum,2005,18,18,18.0
Bedlno,Szkoła podstawowa,2006,13,19,15.2
Bedlno,Szkoła podstawowa,2007,15,22,17.8
Bedlno,Szkoła podstawowa,2008,13,19,15.2
Bedlno,Szkoła podstawowa,2009,11,17,13.4
Bedlno,Szkoła podstawowa,2010,13,19,15.2
Bedlno,Szkoła podstawowa,2011,11,17,13.4
Bejsce,Gimnazjum,2003,10,10,10.0
Bejsce,Gimnazjum,2004,10,10,10.0
Bejsce,Gimnazjum,2005,11,11,11.0
Bejsce,Szkoła podstawowa,2006,17,30,23.5
Bejsce,Szkoła podstawowa,2007,17,30,23.5
Bejsce,Szkoła podstawowa,2008,14,26,20.0
Bejsce,Szkoła podstawowa,2009,14,26,20.0
Bejsce,Szkoła podstawowa,2010,14,26,20.0
Bejsce,Szkoła podstawowa,2011,13,22,17.5
Belsk Duży,Gimnazjum,2003,33,33,33.0
Belsk Duży,Gimnazjum,2004,33,33,33.0
Belsk Duży,Gimnazjum,2005,34,34,34.0
Belsk Duży,Przedszkole,2012,6,15,10.5
Belsk Duży,Przedszkole,2013,6,16,11.0
Belsk Duży,Przedszkole,2014,6,14,10.0
Belsk Duży,Przedszkole,2015,6,15,10.5
Belsk Duży,Szkoła podstawowa,2006,15,83,33.5
Belsk Duży,Szkoła podstawowa,2007,14,78,31.5
Belsk Duży,Szkoła podstawowa,2008,14,74,30.0
Belsk Duży,Szkoła podstawowa,2009,14,78,31.5
Belsk Duży,Szkoła podstawowa,2010,14,78,31.5
Belsk Duży,Szkoła podstawowa,2011,13,69,28.0
Besko,Przedszkole,2012,23,23,23.0
Besko,Przedszkole,2013,18,18,18.0
Besko,Przedszkole,2014,18,18,18.0
Besko,Przedszkole,2015,21,21,21.0
Besko,Szkoła podstawowa,2006,92,92,92.0
Besko,Szkoła podstawowa,2007,97,97,97.0
Besko,Szkoła podstawowa,2008,87,87,87.0
Besko,Szkoła podstawowa,2009,71,71,71.0
Besko,Szkoła podstawowa,2010,77,77,77.0
Besko,Szkoła podstawowa,2011,87,87,87.0
Bełchatów,Gimnazjum,2003,5,5,5.0
Bełchatów,Gimnazjum,2004,6,6,6.0
Bełchatów,Gimnazjum,2005,6,6,6.0
Bełchatów,Liceum ogólnokształcące,2000,19,110,55.714285714285715
Bełchatów,Liceum ogólnokształcące,2001,19,110,55.714285714285715
Bełchatów,Liceum ogólnokształcące,2002,19,115,57.857142857142854
Bełchatów,Przedszkole,2012,6,57,28.733333333333334
Bełchatów,Przedszkole,2013,5,54,27.533333333333335
Bełchatów,Przedszkole,2014,5,54,27.533333333333335
Bełchatów,Przedszkole,2015,6,57,28.733333333333334
Bełchatów,Szkoła podstawowa,2006,2,138,44.714285714285715
Bełchatów,Szkoła podstawowa,2007,2,149,48.0
Bełchatów,Szkoła podstawowa,2008,2,149,48.0
Bełchatów,Szkoła podstawowa,2009,2,149,48.0
Bełchatów,Szkoła podstawowa,2010,2,138,44.714285714285715
Bełchatów,Szkoła podstawowa,2011,2,138,44.714285714285715
Bełchatów,Szkoła policealna,1994,6,66,22.285714285714285
Bełchatów,Szkoła policealna,1995,6,61,20.714285714285715
Bełchatów,Szkoła policealna,1996,5,57,19.0
Bełchatów,Szkoła policealna,1997,5,52,17.714285714285715
Bełchatów,Szkoła policealna,1998,5,52,17.714285714285715
Bełchatów,Szkoła policealna,1999,5,52,17.714285714285715
Bełżyce,Przedszkole,2012,4,52,23.333333333333332
Bełżyce,Przedszkole,2013,4,48,21.666666666666668
Bełżyce,Przedszkole,2014,3,46,20.333333333333332
Bełżyce,Przedszkole,2015,4,52,23.333333333333332
Bełżyce,Szkoła podstawowa,2006,6,125,28.75
Bełżyce,Szkoła podstawowa,2007,6,132,30.375
Bełżyce,Szkoła podstawowa,2008,6,125,28.75
Bełżyce,Szkoła podstawowa,2009,6,117,27.0
Bełżyce,Szkoła podstawowa,2010,5,110,25.25
Bełżyce,Szkoła podstawowa,2011,5,110,25.25
Biała,Gimnazjum,2003,12,12,12.0
Biała,Gimnazjum,2004,12,12,12.0
Biała,Gimnazjum,2005,12,12,12.0
Biała,Przedszkole,2012,3,9,5.0
Biała,Przedszkole,2013,2,8,4.333333333333333
Biała,Przedszkole,2014,3,9,5.0
Biała,Przedszkole,2015,3,9,5.0
Biała,Szkoła podstawowa,2006,4,18,8.5
Biała,Szkoła podstawowa,2007,5,21,10.0
Biała,Szkoła podstawowa,2008,5,21,10.0
Biała,Szkoła podstawowa,2009,4,18,8.5
Biała,Szkoła podstawowa,2010,4,18,8.5
Biała,Szkoła podstawowa,2011,4,18,8.5
Biała Piska,Przedszkole,2012,53,53,53.0
Biała Piska,Przedszkole,2013,49,49,49.0
Biała Piska,Przedszkole,2014,42,42,42.0
Biała Piska,Przedszkole,2015,43,43,43.0
Biała Piska,Szkoła podstawowa,2006,5,89,30.666666666666668
Biała Piska,Szkoła podstawowa,2007,5,100,34.666666666666664
Biała Piska,Szkoła podstawowa,2008,6,106,36.666666666666664
Biała Piska,Szkoła podstawowa,2009,5,95,32.833333333333336
Biała Piska,Szkoła podstawowa,2010,5,89,30.666666666666668
Biała Piska,Szkoła podstawowa,2011,4,84,29.0
Biała Podlaska,Gimnazjum,2003,2,4,3.0
Biała Podlaska,Gimnazjum,2004,2,4,3.0
Biała Podlaska,Gimnazjum,2005,2,4,3.0
Biała Podlaska,Liceum ogólnokształcące,2000,6,53,24.75
Biała Podlaska,Liceum ogólnokształcące,2001,5,47,22.125
Biała Podlaska,Liceum ogólnokształcące,2002,5,45,21.0
Biała Podlaska,Przedszkole,2012,3,47,17.1875
Biała Podlaska,Przedszkole,2013,3,49,18.0
Biała Podlaska,Przedszkole,2014,3,52,19.0625
Biała Podlaska,Przedszkole,2015,3,57,21.0625
Biała Podlaska,Szkoła podstawowa,2006,2,109,16.4375
Biała Podlaska,Szkoła podstawowa,2007,3,109,17.0625
Biała Podlaska,Szkoła podstawowa,2008,2,109,16.4375
Biała Podlaska,Szkoła podstawowa,2009,2,109,16.4375
Biała Podlaska,Szkoła podstawowa,2010,2,101,15.375
Biała Podlaska,Szkoła podstawowa,2011,1,101,14.75
Biała Podlaska,Szkoła policealna,1994,2,39,16.444444444444443
Biała Podlaska,Szkoła policealna,1995,2,39,16.444444444444443
Biała Podlaska,Szkoła policealna,1996,1,36,14.88888888888889
Biała Podlaska,Szkoła policealna,1997,1,36,14.88888888888889
Biała Podlaska,Szkoła policealna,1998,1,36,14.88888888888889
Biała Podlaska,Szkoła policealna,1999,1,36,14.88888888888889
Biała Rawska,Przedszkole,2012,62,62,62.0
Biała Rawska,Przedszkole,2013,60,60,60.0
Biała Rawska,Przedszkole,2014,60,60,60.0
Biała Rawska,Przedszkole,2015,67,67,67.0
Biała Rawska,Szkoła podstawowa,2006,6,103,27.142857142857142
Biała Rawska,Szkoła podstawowa,2007,6,103,27.142857142857142
Biała Rawska,Szkoła podstawowa,2008,6,103,27.142857142857142
Biała Rawska,Szkoła podstawowa,2009,6,103,27.142857142857142
Biała Rawska,Szkoła podstawowa,2010,6,103,27.142857142857142
Biała Rawska,Szkoła podstawowa,2011,5,96,25.142857142857142
Białaczów,Gimnazjum,2003,13,13,13.0
Białaczów,Gimnazjum,2004,13,13,13.0
Białaczów,Gimnazjum,2005,13,13,13.0
Białaczów,Szkoła podstawowa,2006,20,38,26.75
Białaczów,Szkoła podstawowa,2007,22,42,29.5
Białaczów,Szkoła podstawowa,2008,19,36,25.0
Białaczów,Szkoła podstawowa,2009,18,33,23.5
Białaczów,Szkoła podstawowa,2010,18,33,23.5
Białaczów,Szkoła podstawowa,2011,14,27,18.75
Białe Błota,Przedszkole,2012,5,71,28.333333333333332
Białe Błota,Przedszkole,2013,4,68,27.333333333333332
Białe Błota,Przedszkole,2014,5,71,28.333333333333332
Białe Błota,Przedszkole,2015,5,74,29.666666666666668
Białe Błota,Szkoła podstawowa,2006,8,265,114.5
Białe Błota,Szkoła podstawowa,2007,8,280,120.75
Białe Błota,Szkoła podstawowa,2008,8,265,114.5
Białe Błota,Szkoła podstawowa,2009,7,235,101.5
