,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Baranowo,Szkoła podstawowa,3.2,8.72972972972973,5.651959312253429
Baranowo,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baranów,Szkoła podstawowa,3.9444444444444446,9.16,6.444400793650795
Baranów,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Baranów Sandomierski,Przedszkole,16.0,16.0,16.0
Baranów Sandomierski,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Barciany,Przedszkole,10.7,10.7,10.7
Barciany,Szkoła podstawowa,6.043478260869565,8.705882352941176,7.5949031786627685
Barcin,Przedszkole,6.5,10.583333333333334,8.372564102564102
Barcin,Szkoła podstawowa,6.409090909090909,9.043478260869565,7.627046866177301
Barcin,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Barczewo,Przedszkole,10.047619047619047,10.047619047619047,10.047619047619047
Barczewo,Szkoła podstawowa,1.85,8.428571428571429,5.139285714285714
Barczewo,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bardo,Dom wczasów dziecięcych,0.0,0.0,0.0
Bardo,Gimnazjum,5.833333333333333,5.833333333333333,5.833333333333333
Bardo,Przedszkole,8.666666666666666,8.666666666666666,8.666666666666666
Bardo,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bargłów Kościelny,Punkt przedszkolny,13.0,19.0,16.0
Bargłów Kościelny,Szkoła podstawowa,4.923076923076923,8.35,6.050412087912088
Barlinek,Ośrodek Rewalidacyjno-Wychowawczy umożliwiający upośledzonym umysłowo realizację obowiązku szkolnego i nauki,2.3181818181818183,2.3181818181818183,2.3181818181818183
Barlinek,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Barlinek,Przedszkole,2.074074074074074,9.583333333333334,7.230956790123457
Barlinek,Punkt przedszkolny,28.0,28.0,28.0
Barlinek,Szkoła podstawowa,2.142857142857143,10.930555555555555,5.82529761904762
Barlinek,Szkoła specjalna przysposabiająca do pracy,1.4285714285714286,1.4285714285714286,1.4285714285714286
Barlinek,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Bartniczka,Przedszkole,9.3,9.3,9.3
Bartniczka,Punkt przedszkolny,3.3333333333333335,3.3333333333333335,3.3333333333333335
Bartniczka,Szkoła podstawowa,7.866666666666666,8.92,8.393333333333333
Bartoszyce,Gimnazjum,5.0344827586206895,5.0344827586206895,5.0344827586206895
Bartoszyce,Liceum ogólnokształcące,4.909090909090909,9.9,7.250089126559716
Bartoszyce,Młodzieżowy dom kultury,0.0,0.0,0.0
Bartoszyce,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
Bartoszyce,Przedszkole,5.2,16.666666666666668,10.136666666666667
Bartoszyce,Punkt przedszkolny,11.333333333333334,11.333333333333334,11.333333333333334
