,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
M,Szkoła policealna plastyczna,0.0,206.0,23.33560731293094
M,Szkoła specjalna przysposabiająca do pracy,0.17647058823529413,6.0,1.643207686270346
M,Technikum,0.0,35.25,4.783810826129811
M,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
M,Zespół wychowania przedszkolnego,0.42857142857142855,12.0,4.52634508348794
M-Gm,Biblioteki pedagogiczne,0.0,0.0,0.0
M-Gm,Branżowa szkoła I stopnia,0.0,99.0,6.6640253354105745
M-Gm,Bursa,0.0,0.0,0.0
M-Gm,Centrum Kształcenia Praktycznego,0.0,0.0,0.0
M-Gm,Centrum Kształcenia Ustawicznego - bez szkół,0.0,0.0,0.0
M-Gm,Centrum Kształcenia Ustawicznego ze szkołami,0.0,0.0,0.0
M-Gm,Czteroletnia szkoła muzyczna I stopnia,2.75,14.666666666666666,7.8680555555555545
M-Gm,Czteroletnie liceum plastyczne,2.382978723404255,3.8536585365853657,3.2471025774087527
M-Gm,Delegatura,0.0,0.0,0.0
M-Gm,Dom wczasów dziecięcych,0.0,0.0,0.0
M-Gm,Gimnazjum,0.2,11.25,3.01386664186244
M-Gm,Liceum ogólnokształcące,0.0,106.0,9.000960713460303
M-Gm,Międzyszkolny ośrodek sportowy,0.0,0.0,0.0
M-Gm,Młodzieżowy Ośrodek Socjoterapii ze szkołami,0.09090909090909091,2.75,1.6384137877625058
M-Gm,Młodzieżowy Ośrodek Wychowawczy,1.0,2.395348837209302,1.4850920183277423
M-Gm,Młodzieżowy dom kultury,0.0,0.0,0.0
M-Gm,Niepubliczna placówka kształcenia ustawicznego i praktycznego,0.0,0.0,0.0
M-Gm,Niepubliczna placówka kształcenia ustawicznego i praktycznego ze szkołami,0.0,0.0,0.0
M-Gm,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty,0.0,0.0,0.0
M-Gm,Ognisko pracy pozaszkolnej,0.0,0.0,0.0
M-Gm,Ogólnokształcąca szkoła muzyczna I stopnia,1.3846153846153846,2.5641025641025643,1.9743589743589745
M-Gm,Ośrodek Rewalidacyjno-Wychowawczy umożliwiający upośledzonym umysłowo realizację obowiązku szkolnego i nauki,0.0,4.0,1.915726491502099
M-Gm,Ośrodek dokształcania i doskonalenia zawodowego,0.0,0.0,0.0
M-Gm,Placówka doskonalenia nauczycieli,0.0,0.0,0.0
M-Gm,Placówki artystyczne (ognisko artystyczne),0.0,0.0,0.0
M-Gm,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
M-Gm,Poradnia specjalistyczna,0.0,0.0,0.0
M-Gm,Pozaszkolna placówka specjalistyczna,0.0,0.0,0.0
